route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Monkey Gone to Heaven,Pixie Boulder > Indian Cove CG > Indian Cove Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106400474/monkey-gone-to-heaven,2.1,-1,Boulder,V3,1,20.0,34.094409999999996,-116.15612,106400474,3.0
Snappa,Pixie Boulder > Indian Cove CG > Indian Cove Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/107424185/snappa,2.0,-1,Boulder,V3,1,10.0,34.094409999999996,-116.15612,107424185,3.0
No Picnic,Picnic Boulder > Indian Cove CG > Indian Cove Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106638409/no-picnic,2.0,-1,Boulder,V3 R,1,15.0,34.09303,-116.16351999999999,106638409,3.25
Firebug,Campfire Crag Boulder > Indian Cove CG > Indian Cove Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106643707/firebug,1.0,-1,Boulder,V3,1,12.0,34.09303,-116.16351999999999,106643707,3.0
Kranium Center,Kranium Bloc > Inner Circle > The Underground > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108042279/kranium-center,2.3,-1,Boulder,V3,1,8.0,34.06942,-116.09196000000001,108042279,3.0
Moral Wasteland,Mullet Bloc > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106643987/moral-wasteland,2.0,-1,Boulder,V3,1,12.0,34.0441,-116.1061,106643987,3.0
"Whips, Chains and Lox",Lox Boulder > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106645484/whips-chains-and-lox,2.0,-1,Boulder,V3,1,18.0,34.0441,-116.1061,106645484,3.0
Lox O' Kourndoggs,Lox Boulder > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116483086/lox-o-kourndoggs,3.0,-1,Boulder,V3,1,,34.0441,-116.1061,116483086,3.0
Finger Food,The Habanero > The Separate Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106686375/finger-food,2.0,-1,Boulder,V3,1,14.0,34.046209999999995,-116.10331000000001,106686375,3.0
Triple X,Larry Flynt Memorial Boulder > The Larry Flynt Boulders > The Wastelands > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106690807/triple-x,0.0,-1,Boulder,V3 R,1,20.0,34.0441,-116.1061,106690807,3.25
Belt Sander,The Iceberg > The Arctic Circle > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106692607/belt-sander,1.0,-1,Boulder,V3,1,18.0,34.0403,-116.0942,106692607,3.0
Fade,Fade > Bighorn Pass Boulders > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/111338813/fade,1.5,-1,Boulder,V3,1,11.0,34.028459999999995,-116.12201999999999,111338813,3.0
Little Biglip,Little Biglip > Bighorn Pass Boulders > Queen Mountain Base > Queen Mountain Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/111338835/little-biglip,2.0,-1,Boulder,V3,1,8.0,34.0287,-116.12203999999998,111338835,3.0
EJ Deluxe Escape,E. J.  Deluxe Boulder > Lonesome Crowded West > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108757305/ej-deluxe-escape,2.8,-1,Boulder,V3,1,14.0,34.033,-116.1721,108757305,3.0
Way of the Knob,Lucky Boy Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114010549/way-of-the-knob,1.0,-1,Boulder,V3,1,12.0,34.018229999999996,-116.0737,114010549,3.0
Lizards Head,Lucky Boy Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114010738/lizards-head,1.0,-1,Boulder,V3,1,6.0,34.018229999999996,-116.0737,114010738,3.0
Feeling Lucky,Lucky Boy Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114010940/feeling-lucky,2.0,-1,Boulder,V3,1,12.0,34.018229999999996,-116.0737,114010940,3.0
John's Route,Lucky Boy Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114141217/johns-route,2.0,-1,Boulder,V3,1,20.0,34.018229999999996,-116.0737,114141217,3.0
Crystal Arete,Campfire Circle Boulder > HVCG South > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106292618/crystal-arete,2.4,-1,Boulder,V3+,1,12.0,34.01742,-116.16323999999999,106292618,3.25
In Through The Outdoor,False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/113257814/in-through-the-outdoor,3.5,-1,Boulder,V3+,1,15.0,34.0202,-116.165,113257814,3.25
Rotting Crack,Mirage Boulder > Western Belt > Geology Tour Road Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106153588/rotting-crack,1.0,-1,Boulder,V3+,1,15.0,33.9532,-116.1085,106153588,3.25
Lotus Flower,Xenolithic Boulder > Loveland Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722902/lotus-flower,2.7,-1,Boulder,V3+,1,20.0,34.0169,-116.0421,105722902,3.25
South Corner,The Gumdrop > Echo Rock Boulders > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106127676/south-corner,1.5,-1,Boulder,V3+,1,13.0,34.0241,-116.1547,106127676,3.25
Gas Guzzler,Master Cylinder > Echo Rock Boulders > Echo Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/111809024/gas-guzzler,0.0,-1,Boulder,V3+,1,13.0,34.025940000000006,-116.15522,111809024,3.25
