route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Problem A,Flying Saucer Alcove > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997411/problem-a,2.0,-1,Boulder,V1,1,15.0,37.41675,-118.44941999999999,106997411,1.0
OK: I'll Share With Charlie Bucket,The Uncracked Wall > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977961/ok-ill-share-with-charlie-bucket,2.0,-1,Boulder,V1 PG13,1,15.0,37.41646,-118.44882,106977961,1.0
But Not With Willie Wonka,The Uncracked Wall > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977968/but-not-with-willie-wonka,1.0,-1,Boulder,V1 PG13,1,15.0,37.41646,-118.44882,106977968,1.0
Tall Wall Left,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106114159/tall-wall-left,2.5,-1,Boulder,V1 R,1,28.0,37.41698,-118.45133,106114159,1.25
Problem B,Big Arete Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106272945/problem-b,1.0,-1,Boulder,V1,1,15.0,37.41511,-118.44859,106272945,1.0
Problem B,Pig Pen Slab > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106273750/problem-b,2.2,-1,Boulder,V1,1,10.0,37.41525,-118.44878,106273750,1.0
Problem A,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107045690/problem-a,1.5,-1,Boulder,V1,1,10.0,37.415690000000005,-118.44957,107045690,1.0
Problem F,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107045725/problem-f,1.0,-1,Boulder,V1,1,10.0,37.415690000000005,-118.44957,107045725,1.0
No sleepy Yet,Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107045594/no-sleepy-yet,0.0,-1,Boulder,V1,1,10.0,37.41588,-118.44993000000001,107045594,1.0
If Bishop Were France,Captain Hook Alcove > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107541995/if-bishop-were-france,2.0,-1,Boulder,V1 PG13,1,15.0,37.416,-118.45,107541995,1.0
King Louis,King Louis > Hall of Mirrors Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107898170/king-louis,2.6,-1,Boulder,V1,1,12.0,37.41622,-118.45021000000001,107898170,1.0
Sharp and Short,The Hall of Mirrors > Hall of Mirrors Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107898223/sharp-and-short,1.0,-1,Boulder,V1,1,10.0,37.41622,-118.45021000000001,107898223,1.0
Hugh Romney,Wavy Gravy Boulder > Wavy Gravy Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086151/hugh-romney,1.0,-1,Boulder,V1,1,10.0,37.416470000000004,-118.44993999999998,106086151,1.0
Hippie Hyannisport,BD Boulder > Wavy Gravy Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086627/hippie-hyannisport,1.0,-1,Boulder,V1,1,10.0,37.41657,-118.44993000000001,106086627,1.0
Brock,More Smack Boulders > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106406176/brock,1.5,-1,Boulder,V1,1,15.0,37.4191,-118.4543,106406176,1.0
More Smack Please Vicar,More Smack Boulders > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997241/more-smack-please-vicar,1.5,-1,Boulder,V1,1,,37.4191,-118.4543,106997241,1.0
Guidebook Writer's Love-In,More Smack Boulders > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997273/guidebook-writers-love-in,1.0,-1,Boulder,V1,1,,37.4191,-118.4543,106997273,1.0
Cockpit,Top Gun Boulders > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111480892/cockpit,1.0,-1,Boulder,V1,1,15.0,37.4191,-118.4546,111480892,1.0
T-Crack Left,Upper Canyon > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106126269/t-crack-left,3.5,-1,Boulder,V1 R,1,28.0,37.41876,-118.45486000000001,106126269,1.25
T-Crack Right,Upper Canyon > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106126289/t-crack-right,3.5,-1,Boulder,V1 R,1,28.0,37.41876,-118.45486000000001,106126289,1.25
Unnamed 2,Girlfriend Rock > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106132923/unnamed-2,1.6,-1,Boulder,V1,1,10.0,37.4178,-118.4519,106132923,1.0
Epizootic,Grindrite Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112814041/epizootic,1.0,-1,Boulder,V1,1,13.0,37.41602,-118.44908999999998,112814041,1.0
Liberation Management,Tom Peter's Slab > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106273857/liberation-management,2.6,-1,Boulder,V1 PG13,1,20.0,37.41587,-118.44899,106273857,1.0
Not High Enough,Classique Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275420/not-high-enough,1.2,-1,Boulder,V1,1,10.0,37.41607,-118.44887,106275420,1.0
Spectral Morning,Sunburst Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107897660/spectral-morning,1.5,-1,Boulder,V1,1,12.0,37.41581,-118.44905,107897660,1.0
