,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
115,Killing Fields,The Citadel Boulder > Sixty Foot Woman/Shadow Play Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996417/killing-fields,-1.0,-1,Boulder,V0+,1,,37.41793,-118.45156999999999,0,1,1,1
116,Problem A,Rio Rose Boulder > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997072/problem-a,1.0,-1,Boulder,V0+,1,12.0,37.41675,-118.44941999999999,1,1,0,3
117,Flying Saucer,Flying Saucer Rock > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997387/flying-saucer,2.7,-1,Boulder,V0+,1,15.0,37.41675,-118.44941999999999,6,3,5,12
118,"Oh Baby, Veruca!",Baby Boulder > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977743/oh-baby-veruca,1.0,-1,Boulder,V0+,1,15.0,37.41646,-118.44882,1,1,0,4
119,Vermicious Knid,The Uncracked Wall > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977977/vermicious-knid,1.5,-1,Boulder,V0+,1,15.0,37.41646,-118.44882,2,1,0,5
120,"I Am Leaving For Constantinople, Tonight",Offwidth Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106996317/i-am-leaving-for-constantinople-tonight,2.0,-1,Boulder,V0+,1,,37.41747,-118.45071000000002,3,2,3,5
121,Lichen Slab,Southern Section > Frontierland > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106273783/lichen-slab,2.0,-1,Boulder,V0+,1,15.0,37.41548,-118.44911,1,1,0,5
122,Grand Trianon,Front Block > Hall of Mirrors Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107898123/grand-trianon,1.0,-1,Boulder,V0+,1,10.0,37.41622,-118.45021000000001,2,1,0,4
123,The Salon of Hercules,The Hall of Mirrors > Hall of Mirrors Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107898203/the-salon-of-hercules,1.0,-1,Boulder,V0+,1,12.0,37.41622,-118.45021000000001,1,1,1,6
124,Napoleon's Bedroom,The Hall of Mirrors > Hall of Mirrors Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107898211/napoleons-bedroom,2.0,-1,Boulder,V0+,1,12.0,37.41622,-118.45021000000001,1,1,2,6
125,Hog Farm,Wavy Gravy Boulder > Wavy Gravy Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086162/hog-farm,1.7,-1,Boulder,V0+,1,10.0,37.416470000000004,-118.44993999999998,19,6,2,35
126,Tom's Cruise,Top Gun Boulders > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107035617/toms-cruise,2.0,-1,Boulder,V0+,1,15.0,37.4191,-118.4546,1,2,1,8
127,Flyboy,Top Gun Boulders > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107939713/flyboy,1.0,-1,Boulder,V0+,1,10.0,37.4191,-118.4546,1,1,4,4
128,Invisibility Lessons,Top Gun Boulders > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111480898/invisibility-lessons,1.0,-1,Boulder,V0+,1,15.0,37.4191,-118.4546,1,1,1,3
129,End of the Road,Wayko Boulder > Top Gun Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106995166/end-of-the-road,1.4,-1,Boulder,V0+,1,,37.41904,-118.45447,5,2,1,7
130,Too Hard For Bob Harrington,Classique Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275390/too-hard-for-bob-harrington,1.4,-1,Boulder,V0+ PG13,1,15.0,37.41607,-118.44887,5,2,1,10
131,Too Much For Mike Pope,Classique Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275397/too-much-for-mike-pope,2.4,-1,Boulder,V0+ PG13,1,15.0,37.41607,-118.44887,13,4,3,29
132,Classique,Classique Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275404/classique,2.9,-1,Boulder,V0+ PG13,1,15.0,37.41607,-118.44887,43,10,18,83
133,Strange Quotations,Strange Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106999123/strange-quotations,2.7,-1,Boulder,V0+,1,,37.4161,-118.44905,26,7,7,53
134,Another Stranger,Strange Boulder > Tom Peter's Slab Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107005433/another-stranger,1.8,-1,Boulder,V0+,1,,37.4161,-118.44905,8,5,0,14
135,Ain't But the One Way,Jesus Chrysler Boulder > Jesus Chrysler Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107504667/aint-but-the-one-way,2.7,-1,Boulder,V0+,1,15.0,37.415820000000004,-118.44842,58,17,57,143
136,You're a Disc Jockey: Whats That?,Serengeti Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086065/youre-a-disc-jockey-whats-that,1.2,-1,Boulder,V0+,1,15.0,37.418440000000004,-118.45268999999999,5,1,1,8
137,Circle of Life,Cilley Boulder > Serengeti Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106326679/circle-of-life,2.2,-1,Boulder,V0+,1,10.0,37.41847,-118.45248000000001,28,11,6,64
