,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
78,Ainvar,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538909/ainvar,1.9,-1,Boulder,V2+,1,8.0,37.30758,-118.4365,13,3,2,19
79,Fear of the Unknown,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107009299/fear-of-the-unknown,3.5,-1,Boulder,V3 PG13,1,17.0,37.306979999999996,-118.43701999999999,10,5,14,10
80,Netherworld,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724071/netherworld,2.0,-1,Boulder,V3,1,10.0,37.30792,-118.43255,2,1,1,1
81,Good World,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724172/good-world,2.5,-1,Boulder,V3,1,10.0,37.30792,-118.43255,2,1,3,7
82,There is no Party Left (variation),Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724191/there-is-no-party-left-variation,2.8,-1,Boulder,V3,1,15.0,37.30792,-118.43255,4,1,2,8
83,Thunder,Thunder Wall Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106079188/thunder,3.4,-1,Boulder,V3,1,11.0,37.30761,-118.43628000000001,59,16,49,73
84,Missack,MIssack > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621009/missack,2.0,-1,Boulder,V3,1,12.0,37.307109999999994,-118.43566000000001,3,3,3,3
85,Who Love's Ya Baby?,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203687/who-loves-ya-baby,2.4,-1,Boulder,V3,1,,37.3071,-118.435,23,4,6,28
86,Lollipop,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621114/lollipop,1.5,-1,Boulder,V3,1,10.0,37.3071,-118.435,4,1,1,5
87,Halfway House,Trailside Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112776229/halfway-house,2.0,-1,Boulder,V3,1,15.0,37.30959,-118.4361,1,1,0,0
88,Blood Kin Sit,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032713/blood-kin-sit,3.0,-1,Boulder,V4,1,18.0,37.30744,-118.43635,5,5,6,5
89,Truth Crushed to Earth Will Rise Again,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592964/truth-crushed-to-earth-will-rise-again,2.0,-1,Boulder,V4,1,15.0,37.307359999999996,-118.43648,2,1,2,3
90,Sheep Cat Lives On,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620741/sheep-cat-lives-on,2.0,-1,Boulder,V4 R,1,25.0,37.307359999999996,-118.43648,1,1,0,0
91,Problem A,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620746/problem-a,1.0,-1,Boulder,V4,1,12.0,37.307359999999996,-118.43648,1,1,0,2
92,Dreams of Winter,Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620922/dreams-of-winter,2.0,-1,Boulder,V4,1,15.0,37.307179999999995,-118.43633,1,1,1,2
93,Pretty in Pink - Left Variation,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724183/pretty-in-pink-left-variation,2.8,-1,Boulder,V4,1,15.0,37.30792,-118.43255,4,2,2,4
94,Freek Flag,Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724206/freek-flag,2.2,-1,Boulder,V4,1,15.0,37.30792,-118.43255,5,3,1,5
95,Morning Glory,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112519639/morning-glory,4.0,-1,Boulder,V4,1,18.0,37.30808,-118.43306000000001,1,1,3,0
96,Afternoon Delight,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112519880/afternoon-delight,2.0,-1,Boulder,V4,1,19.0,37.30808,-118.43306000000001,1,1,0,0
97,Izzy Lizzy,Izzy Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724272/izzy-lizzy,4.0,-1,Boulder,V4,1,15.0,37.30782,-118.43321,1,1,3,2
98,Brother Law,All Fired Up Boulder > Skye Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112776962/brother-law,2.7,-1,Boulder,V4,1,10.0,37.30764,-118.4361,3,3,3,2
99,White Man's Overbite,White Man's Overbite Boulder > Skye Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112529636/white-mans-overbite,2.0,-1,Boulder,V4,1,,37.30766,-118.43621999999999,1,1,1,1
100,Kredulf,Thunder Wall Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106079179/kredulf,3.8,-1,Boulder,V4,1,12.0,37.30761,-118.43628000000001,30,14,67,33
101,Spoiled Blond,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112520755/spoiled-blond,2.9,-1,Boulder,V4,1,8.0,37.30758,-118.4365,8,5,7,7
102,A Maid of Constant Sorrow,Goblin Rock > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114101002/a-maid-of-constant-sorrow,2.0,-1,Boulder,V4,1,10.0,37.30758,-118.4365,1,1,0,0
103,Wimmin of Climbing,Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621025/wimmin-of-climbing,1.0,-1,Boulder,V4,1,8.0,37.307109999999994,-118.43563,1,2,0,0
104,The Hidden Value of a Cheap Thrill,Wave Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621125/the-hidden-value-of-a-cheap-thrill,1.0,-1,Boulder,V4,1,10.0,37.307109999999994,-118.43541,2,2,0,3
105,Kojakian Wisdom Reworked,Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108621109/kojakian-wisdom-reworked,3.0,-1,Boulder,V4,1,16.0,37.3071,-118.435,9,2,5,12
106,Chaps,Shock Therapy Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114101268/chaps,2.0,-1,Boulder,V4,1,10.0,37.30751,-118.43588999999999,1,1,0,0
107,Vinland,Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592983/vinland,1.0,-1,Boulder,V4+,1,12.0,37.307359999999996,-118.43648,2,1,0,3
108,Arch Drude,Arch Drude Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107205673/arch-drude,3.7,-1,Boulder,V5-,1,18.0,37.3074,-118.4372,23,13,34,21
109,Fear of the Unknown (Sit),Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107018224/fear-of-the-unknown-sit,3.0,-1,Boulder,V5 PG13,1,17.0,37.306979999999996,-118.43701999999999,4,3,2,1
110,Sloth Stand Start,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203656/sloth-stand-start,2.0,-1,Boulder,V5,1,,37.306979999999996,-118.43701999999999,2,1,1,2
111,Prostrate to the Higher Mind,Thunder Wall Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106123695/prostrate-to-the-higher-mind,2.8,-1,Boulder,V5,1,12.0,37.30761,-118.43628000000001,9,6,12,14
112,Arch Drude (Left Start),Arch Drude Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108559707/arch-drude-left-start,3.8,-1,Boulder,V5,1,18.0,37.3074,-118.4372,13,8,27,12
113,Flawed Genius,Arch Drude Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593019/flawed-genius,2.6,-1,Boulder,V5,1,15.0,37.3074,-118.4372,5,1,3,5
114,Hook Line and Sinker,Wave Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203666/hook-line-and-sinker,3.0,-1,Boulder,V5,1,12.0,37.307109999999994,-118.43541,21,6,13,28
