,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
16,White Crack,Cap Rock > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106161774/white-crack,2.7,-1,Boulder,V-easy,1,15.0,33.98965,-116.16317,34,12,67,52
17,House Brew,French Roast Boulder > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106314695/house-brew,1.3,-1,Boulder,V-easy,1,10.0,33.98932,-116.16342,9,5,5,16
18,Java Junkie,French Roast Boulder > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106314702/java-junkie,1.5,-1,Boulder,V-easy,1,10.0,33.98932,-116.16342,4,2,4,5
19,West Face,Entrance Boulder > Entrance Boulder & Vicinity > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106143774/west-face,1.4,-1,Boulder,V-easy,1,15.0,34.01258,-116.16828999999998,5,2,6,5
20,Descent Route,Entrance Boulder > Entrance Boulder & Vicinity > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106143781/descent-route,1.0,-1,Boulder,V-easy,1,18.0,34.01258,-116.16828999999998,4,4,2,5
21,Heart-On,Entrance Boulder > Entrance Boulder & Vicinity > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106461617/heart-on,1.0,-1,Boulder,V-easy,1,19.0,34.01258,-116.16828999999998,1,1,4,1
22,The Blazed Trail,Trailblazer Rock > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106465584/the-blazed-trail,1.0,-1,Boulder,V-easy,1,9.0,34.014309999999995,-116.17112,1,1,0,1
23,Van Gogh's Ear,Van Gogh's Ear > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106488621/van-goghs-ear,1.0,-1,Boulder,V-easy,1,8.0,34.014309999999995,-116.17112,2,1,2,0
24,Deadwood Arete,Deadwood Boulder > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106491348/deadwood-arete,1.0,-1,Boulder,V-easy,1,10.0,34.014309999999995,-116.17112,1,1,0,0
25,Moonglow,Victory Boulder > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106625546/moonglow,1.0,-1,Boulder,V-easy,1,12.0,34.014309999999995,-116.17112,2,2,3,5
