route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Problem C,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593139/problem-c,1,-1,Boulder,V-easy PG13,1,20,37.30776,-118.4374,108593139,-1,1,1,1,2
Goi,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620978/goi,2,-1,Boulder,V-easy,1,15,37.30716,-118.43604,108620978,-1,1,1,0,3
Frilla,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620984/frilla,1,-1,Boulder,V-easy,1,12,37.30716,-118.43604,108620984,-1,1,1,0,3
Problem B,Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108620995/problem-b,1,-1,Boulder,V-easy,1,12,37.30716,-118.43604,108620995,-1,1,1,0,2
Everlasting Soul,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108592991/everlasting-soul,2,-1,Boulder,V0- R,1,20,37.30744,-118.43635,108592991,-0.25,2,1,2,3
Problem A,Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724468/problem-a,1,-1,Boulder,V0-,1,10,37.30769,-118.43245,109724468,-0.25,1,1,2,2
Problem A,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731467/problem-a,1,-1,Boulder,V0-,1,10,37.30749,-118.43253,109731467,-0.25,1,1,1,2
Dermatitis,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731485/dermatitis,2,-1,Boulder,V0-,1,12,37.30749,-118.43253,109731485,-0.25,1,1,4,2
Erik Bloody Axe,The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107530064/erik-bloody-axe,1,-1,Boulder,V0-,1,15,37.30703,-118.43756,107530064,-0.25,1,1,1,2
Problem A,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593124/problem-a,1,-1,Boulder,V0-,1,16,37.30776,-118.4374,108593124,-0.25,1,1,0,2
