route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Hamtaro,Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106554760/hamtaro,3,-1,Boulder,V7-8,1,10,37.41588,-118.44993,106554760,7.5,9,8,10,8
This Is How We Do It...,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111782756/this-is-how-we-do-it,2.7,-1,Boulder,V8-,1,15,37.41698,-118.45133,111782756,7.75,3,2,5,3
Dance the Night Away,Slow Dance Cave > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111683515/dance-the-night-away,2.3,-1,Boulder,V8,1,,37.41624,-118.44938,111683515,8,8,3,3,10
Disco Diva,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105988471/disco-diva,3.4,-1,Boulder,V8,1,12,37.41747,-118.45136,105988471,8,27,16,76,33
Less Poetry Please,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106070985/less-poetry-please,4,-1,Boulder,V8,1,30,37.41698,-118.45133,106070985,8,3,2,12,1
A Big Round of Applause,Clapper Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111726432/a-big-round-of-applause,2,-1,Boulder,V8,1,17,37.41533,-118.44877,111726432,8,2,1,3,3
Paper Crane,Pokemon Boulder > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106068430/paper-crane,3.3,-1,Boulder,V8,1,8,37.41538,-118.44893,106068430,8,7,3,13,5
Supersonic,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108574131/supersonic,2.5,-1,Boulder,V8,1,13,37.41569,-118.44957,108574131,8,2,2,1,1
Gang Related,Action Figure Cave > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114263452/gang-related,1,-1,Boulder,V8-9,1,12,37.41749,-118.45018,114263452,8.5,1,1,1,2
Jack of Swords,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111693651/jack-of-swords,1,-1,Boulder,V8-9,1,,37.41569,-118.44957,111693651,8.5,1,1,0,2
