,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
156,Oceania,Misery Cave North Entrance > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669620/oceania,1.0,-1,Boulder,V5,1,12.0,37.417590000000004,-118.43276000000002,1,1,0,0
157,Cow Skull,Cow Skull Boulder > Kung-Fu Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108819564/cow-skull,2.6,-1,Boulder,V5,1,,37.419340000000005,-118.43437,5,1,6,5
158,Hot Pants,"The Hot Pants Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669836/hot-pants,2.9,-1,Boulder,V5+,1,12.0,37.42232,-118.43364,7,6,9,8
159,Erotic Terrorist,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322799/erotic-terrorist,2.6,-1,Boulder,V5-6,1,14.0,37.422540000000005,-118.43364,39,19,25,78
160,Humpty Dumpty Left Start,Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106329067/humpty-dumpty-left-start,1.0,-1,Boulder,V6-,1,15.0,37.417590000000004,-118.43276000000002,1,1,0,0
161,Mothership Connected,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107491869/mothership-connected,2.8,-1,Boulder,V6,1,15.0,37.422540000000005,-118.43364,8,5,20,10
162,SIN Variation Start,Strength in Numbers Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106069039/sin-variation-start,2.3,-1,Boulder,V6,1,20.0,37.42207,-118.43343999999999,7,4,4,7
163,Molly Variation,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617414/molly-variation,2.0,-1,Boulder,V6,1,12.0,37.42075,-118.43391000000001,3,2,0,2
164,Birth of the Cool,Birth of the Cool Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116145243/birth-of-the-cool,2.0,-1,Boulder,V6,1,10.0,37.41845,-118.43373999999999,1,1,2,0
165,Trucker Fucker,Humpty Dumpty Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106329079/trucker-fucker,2.5,-1,Boulder,V6,1,15.0,37.417590000000004,-118.43276000000002,2,1,4,1
166,Rio's Crack,Rio's Crack Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106340969/rios-crack,3.5,-1,Boulder,V6,1,15.0,37.42027,-118.434,40,17,59,41
167,French Press,Misery Cave > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106554779/french-press,3.5,-1,Boulder,V6,1,,37.417590000000004,-118.43276000000002,48,17,96,69
168,Bob Parrot Sit,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106740027/bob-parrot-sit,1.0,-1,Boulder,V6,1,12.0,37.4217,-118.43308,1,1,0,0
169,Problem A,Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915433/problem-a,2.0,-1,Boulder,V6,1,10.0,37.4226,-118.4344,1,1,1,0
170,Give Me A Rim Job,Rim Job Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106095542/give-me-a-rim-job,3.0,-1,Boulder,V6,1,12.0,37.4228,-118.4343,3,3,9,3
171,Bruiser Boulder,Bruiser Boulder > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116069980/bruiser-boulder,3.0,-1,Boulder,V6,1,10.0,37.417590000000004,-118.43276000000002,1,1,1,1
