Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Problem B","William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620964/problem-b,1.0,-1,Boulder,"V0 PG13",1,20,37.30727,-118.4362
"Problem C","William The Vollman > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620969/problem-c,1.0,-1,Boulder,"V0 PG13",1,20,37.30727,-118.4362
Scoop,"Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108621085/scoop,3.0,-1,Boulder,V0,1,10,37.30711,-118.43563
Jormungand,"Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032686/jormungand,2.7,-1,Boulder,"V0+ R",1,20,37.30744,-118.43635
"Celtic Soul Rebel","Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114076678/celtic-soul-rebel,2.0,-1,Boulder,V0+,1,9,37.3072,-118.43735
"Antiquities of Cornwall","Slab Boulder > Thunder Wall Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108538842/antiquities-of-cornwall,1.5,-1,Boulder,V0+,1,15,37.30753,-118.43634
Unnamed,"Erik the Bolder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114076685/unnamed,2.0,-1,Boulder,V0-1,1,8,37.3072,-118.43735
"Problem A","Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620989/problem-a,2.0,-1,Boulder,V1-,1,12,37.30716,-118.43604
Toxygene,"Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107203693/toxygene,1.5,-1,Boulder,V1,1,,37.30698,-118.43702
"Blood Kin","Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032693/blood-kin,3.6,-1,Boulder,V1,1,18,37.30744,-118.43635
"Problem A","Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108592923/problem-a,1.5,-1,Boulder,"V1 PG13",1,16,37.30733,-118.4365
Frey,"Odin's Cave > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620684/frey,1.0,-1,Boulder,"V1 PG13",1,16,37.30736,-118.43648
"Head Butt","Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106317426/head-butt,2.9,-1,Boulder,V1,1,,37.30792,-118.43255
"You Can Cry If You Want To","Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032732/you-can-cry-if-you-want-to,2.8,-1,Boulder,V1,1,15,37.30792,-118.43255
"There Is No Party (Right)","Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032743/there-is-no-party-right,2.9,-1,Boulder,V1,1,15,37.30792,-118.43255
"Problem A","What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724305/problem-a,1.0,-1,Boulder,V1,1,10,37.30782,-118.43311
"Hueco Problem","Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109731547/hueco-problem,2.0,-1,Boulder,V1,1,12,37.30749,-118.43253
"Mister Gorgeous","The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114076715/mister-gorgeous,2.0,-1,Boulder,"V1 PG13",1,20,37.30703,-118.43756
Gunhild,"The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114076732/gunhild,2.0,-1,Boulder,V1,1,15,37.30703,-118.43756
Finland,"Finland Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108593042/finland,2.0,-1,Boulder,V1,1,25,37.30761,-118.43721
Stavros,"Kojak Boulder > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107203702/stavros,1.8,-1,Boulder,V1,1,6,37.3071,-118.435
"Problem A","Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112348224/problem-a,3.0,-1,Boulder,V1+,1,15,37.30792,-118.43255
"Through the Heart","Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106126770/through-the-heart,2.1,-1,Boulder,V1-2,1,12,37.30698,-118.43702
"On a Whim","Wimmin Cave > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114101179/on-a-whim,2.0,-1,Boulder,V1-2,1,8,37.30711,-118.43563
"Woodman, Woodman...","Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106279116/woodman-woodman,1.5,-1,Boulder,"V2 PG13",1,15,37.30698,-118.43702
Trollkind,"Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114101259/trollkind,1.5,-1,Boulder,V2,1,6,37.30698,-118.43702
"Well of Weird","Golden Child Wall > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108592930/well-of-weird,2.0,-1,Boulder,V2,1,16,37.30733,-118.4365
"Winter Sun","Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620915/winter-sun,2.5,-1,Boulder,V2,1,12,37.30718,-118.43633
"The Ice Shirt","Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620929/the-ice-shirt,1.0,-1,Boulder,"V2 PG13",1,15,37.30718,-118.43633
