Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Los Locos","Los Locos Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106340949/los-locos,4.0,-1,Boulder,V7,1,25,37.41759,-118.43276
Soma,"Death Star Cave > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116363745/soma,2.0,-1,Boulder,V7,1,,37.42029,-118.43379
"Hauck a Loogie Eliminate","Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637379/hauck-a-loogie-eliminate,2.7,-1,Boulder,V7,1,12,37.42232,-118.43364
"Water Colors","Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068485/water-colors,2.6,-1,Boulder,V7,1,,37.42112,-118.43318
"Feeding Frenzy","The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106731632/feeding-frenzy,2.5,-1,Boulder,V7,1,15,37.4217,-118.43308
"Rad Parrot","Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106740015/rad-parrot,3.0,-1,Boulder,V7,1,20,37.4217,-118.43308
"Problem B","Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106915438/problem-b,2.0,-1,Boulder,V7,1,10,37.4226,-118.4344
"Slunk Left","Slunk Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114115528/slunk-left,2.5,-1,Boulder,V7,1,9,37.4226,-118.4346
"It's All About Love","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106068468/its-all-about-love,2.8,-1,Boulder,V8-,1,10,37.42254,-118.43364
Mecha-Streisand,"Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322822/mecha-streisand,2.0,-1,Boulder,V8-,1,10,37.42254,-118.43364
"Water Hazard Right","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112289839/water-hazard-right,2.0,-1,Boulder,V8-,1,16,37.42254,-118.43364
"Mr Frosty","Mr Frosty Cave > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106095536/mr-frosty,3.0,-1,Boulder,V8-,1,8,37.4226,-118.4344
"Darkness at Noon","Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322808/darkness-at-noon,2.0,-1,Boulder,V8,1,,37.42254,-118.43364
Frostbite,"Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111726377/frostbite,2.5,-1,Boulder,V8,1,15,37.42254,-118.43364
