,Route,ID,Avg Stars,Grade,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
45,Nebula,106046667,1.7,-1,15.0,34.013459999999995,-116.15442,12,2,11,25
46,Ceres,106046686,1.7,-1,15.0,34.013459999999995,-116.15442,15,2,7,29
47,Pioneer,106046757,1.4,-1,15.0,34.013459999999995,-116.15442,13,2,4,25
48,Juno,107428319,1.2,-1,15.0,34.013459999999995,-116.15442,5,2,1,14
49,unknown,106647273,1.0,-1,20.0,34.013459999999995,-116.15442,1,1,1,1
50,Yacumama,106275816,1.0,-1,20.0,34.013459999999995,-116.15442,1,1,6,0
51,Hershey Kiss Off,106315286,1.5,-1,10.0,34.14302,-116.31326,2,1,8,2
52,Descent Route,111704760,1.2,-1,16.0,34.0184,-116.16365,5,2,2,5
53,Northeast Corner,105725299,1.5,-1,20.0,34.0184,-116.16365,2,1,4,2
54,Morsel,106382726,1.6,-1,10.0,34.01672,-116.16392,7,3,2,6
55,Snack,106382737,1.6,-1,10.0,34.01672,-116.16392,8,4,3,9
56,Tidbit,106382747,1.6,-1,10.0,34.01672,-116.16392,5,2,5,2
57,Dollop,106385988,1.3,-1,10.0,34.01672,-116.16392,9,4,2,8
58,Snack Attack,106386022,1.7,-1,10.0,34.01672,-116.16392,6,2,1,4
59,Snack Crackle Pop,106387052,1.3,-1,8.0,34.01672,-116.16392,3,1,1,1
60,Snack Trap,106387057,1.3,-1,8.0,34.01672,-116.16392,4,1,0,1
61,Knuckle Cracker,106463958,2.1,-1,20.0,34.0184,-116.16365,14,3,41,25
62,Pothole Problem  2,1097925792,1.6,-1,12.0,34.01626,-116.16212,24,4,16,68
63,Pothole Mantel  2,1097925862,1.7,-1,12.0,34.01626,-116.16212,13,2,6,34
64,Pothole Arete,109792593,1.5,-1,12.0,34.01626,-116.16212,15,2,6,42
65,Pothole Slab,109792599,1.6,-1,13.0,34.01626,-116.16212,18,2,9,51
66,Desert Rat Crack,109792606,2.1,-1,14.0,34.01626,-116.16212,22,4,40,59
67,Paddler,106169373,1.6,-1,15.0,34.01999,-116.16161,36,14,10,83
68,Pinhead Traverse,106292515,1.6,-1,10.0,34.01999,-116.16161,54,19,14,127
69,Scoops,106224147,1.6,-1,13.0,34.01824000000001,-116.16346,18,5,14,39
70,Big Lizard in my Backyard,106067212,1.5,-1,10.0,34.0202,-116.165,24,7,4,53
71,Mr. H,105725473,1.9,-1,12.0,34.0204,-116.16556,49,13,9,108
72,Voices Arete,105725476,1.9,-1,12.0,34.0204,-116.16556,45,12,8,88
73,West Face,106044167,2.2,-1,15.0,34.0202,-116.165,19,3,7,53
