route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Pocket Pussy,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642853/pocket-pussy,1,-1,Boulder,V1-,1,10,37.42324,-118.43279,106642853,0.75,8,2,2,12
The Pat Cave Crack,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/113885052/the-pat-cave-crack,1.5,-1,Boulder,V1-,1,15,37.4217,-118.43308,113885052,0.75,2,1,0,1
Loaded,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617845/loaded,2.5,-1,Boulder,V1,1,12,37.42254,-118.43364,106617845,1,35,9,7,60
Smiths,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108528/smiths,2.5,-1,Boulder,V1,1,12,37.42075,-118.43391,106108528,1,25,2,11,30
The Great Dominions,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107178492/the-great-dominions,2.3,-1,Boulder,V1,1,,37.42075,-118.43391,107178492,1,49,15,13,97
Sue Me,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111648825/sue-me,2,-1,Boulder,V1,1,15,37.42075,-118.43391,111648825,1,2,1,0,4
Riding the Gravy Train,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109140312/riding-the-gravy-train,1.7,-1,Boulder,V1,1,15,37.41759,-118.43276,109140312,1,15,4,3,18
Have a Cigar,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112827954/have-a-cigar,2.8,-1,Boulder,V1,1,,37.41759,-118.43276,112827954,1,9,3,4,11
Unnamed 2,Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108632/unnamed-2,2,-1,Boulder,V1 PG13,1,18,37.4191,-118.434,106108632,1,1,1,0,6
"Jerry Falwell, Porn Star",Jerry Falwell Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642821/jerry-falwell-porn-star,1,-1,Boulder,V1,1,10,37.42324,-118.43279,106642821,1,2,1,0,3
No Talk,Talk Talk Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642911/no-talk,1,-1,Boulder,V1,1,10,37.42324,-118.43279,106642911,1,1,1,1,3
Problem A,Valium Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642930/problem-a,1,-1,Boulder,V1,1,8,37.42324,-118.43279,106642930,1,3,1,0,4
Shop Till You Drop,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642964/shop-till-you-drop,0,-1,Boulder,V1 PG13,1,15,37.42324,-118.43279,106642964,1,1,1,0,2
Problem A,"Emma's Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669830/problem-a,1.3,-1,Boulder,V1,1,15,37.42232,-118.43364,106669830,1,3,1,1,6
Problem A,"The Hot Pants Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669848/problem-a,0.9,-1,Boulder,V1,1,10,37.42232,-118.43364,106669848,1,7,2,0,19
