route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Funkadella Bdelia,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669872/funkadella-bdelia,1.7,-1,Boulder,V0,1,8.0,37.42232,-118.43364,106669872,0.0,23,7,1,48,1.380211241711606,1.6901960800285134,0.4313637641589873,0.9542425094393249,0.30102999566398114,0.30102999566398114,4.795831523312719,6.928203230275509,1.3038404810405297,2.8284271247461903,1.0
Parliament,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669877/parliament,1.7,-1,Boulder,V0,1,8.0,37.42232,-118.43364,106669877,0.0,21,6,3,41,1.3424226808222062,1.6232492903979003,0.4313637641589873,0.9542425094393249,0.30102999566398114,0.6020599913279623,4.58257569495584,6.4031242374328485,1.3038404810405297,2.8284271247461903,1.0
Problem A,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669883/problem-a,1.5,-1,Boulder,V0,1,8.0,37.42232,-118.43364,106669883,0.0,21,4,1,41,1.3424226808222062,1.6232492903979003,0.3979400086720376,0.9542425094393249,0.30102999566398114,0.30102999566398114,4.58257569495584,6.4031242374328485,1.224744871391589,2.8284271247461903,1.0
Hands Free Slab,Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106643017/hands-free-slab,2.6,-1,Boulder,V0,1,8.0,37.42112,-118.43318000000001,106643017,0.0,21,4,4,34,1.3424226808222062,1.5440680443502754,0.5563025007672872,0.9542425094393249,0.30102999566398114,0.6989700043360187,4.58257569495584,5.830951894845301,1.61245154965971,2.8284271247461903,1.0
The Flake Crack,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954448/the-flake-crack,1.0,-1,Boulder,V0,1,15.0,37.417590000000004,-118.43276000000002,106954448,0.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.2041199826559246,0.30102999566398114,0.0,1.0,1.4142135623730951,1.0,3.872983346207417,1.0
The Groove,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954482/the-groove,3.1,-1,Boulder,V0,1,12.0,37.417590000000004,-118.43276000000002,106954482,0.0,26,6,39,40,1.4313637641589871,1.6127838567197355,0.6127838567197355,1.1139433523068367,0.30102999566398114,1.6020599913279623,5.0990195135927845,6.324555320336759,1.760681686165901,3.4641016151377544,1.0
President Bush,White House Wall > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116664985/president-bush,3.6,-1,Boulder,V0,1,15.0,37.42048,-118.43303,116664985,0.0,5,3,1,3,0.7781512503836435,0.6020599913279623,0.662757831681574,1.2041199826559246,0.30102999566398114,0.30102999566398114,2.23606797749979,1.7320508075688772,1.8973665961010275,3.872983346207417,1.0
Baby Tooth,The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114197422/baby-tooth,2.0,-1,Boulder,V0,1,10.0,37.4217,-118.43308,114197422,0.0,4,2,1,5,0.6989700043360187,0.7781512503836435,0.47712125471966244,1.041392685158225,0.30102999566398114,0.30102999566398114,2.0,2.23606797749979,1.4142135623730951,3.1622776601683795,1.0
Parrot Fashion,Parrot Fashion Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739946/parrot-fashion,2.2,-1,Boulder,V0,1,15.0,37.4217,-118.43308,106739946,0.0,6,3,3,9,0.8450980400142567,1.0,0.5051499783199059,1.2041199826559246,0.30102999566398114,0.6020599913279623,2.449489742783178,3.0,1.4832396974191326,3.872983346207417,1.0
Bertie Blunt,Bertie Blunt > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106731624/bertie-blunt,1.3,-1,Boulder,V0,1,10.0,37.4217,-118.43308,106731624,0.0,3,2,1,5,0.6020599913279623,0.7781512503836435,0.3617278360175928,1.041392685158225,0.30102999566398114,0.30102999566398114,1.7320508075688772,2.23606797749979,1.140175425099138,3.1622776601683795,1.0
Mad Parrot,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106740001/mad-parrot,1.0,-1,Boulder,V0,1,10.0,37.4217,-118.43308,106740001,0.0,6,2,1,9,0.8450980400142567,1.0,0.30102999566398114,1.041392685158225,0.30102999566398114,0.30102999566398114,2.449489742783178,3.0,1.0,3.1622776601683795,1.0
Bad Parrot,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106740008/bad-parrot,1.7,-1,Boulder,V0,1,10.0,37.4217,-118.43308,106740008,0.0,12,4,1,20,1.1139433523068367,1.322219294733919,0.4313637641589873,1.041392685158225,0.30102999566398114,0.30102999566398114,3.4641016151377544,4.47213595499958,1.3038404810405297,3.1622776601683795,1.0
Problem A,South Arete Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739973/problem-a,1.0,-1,Boulder,V0,1,12.0,37.4217,-118.43308,106739973,0.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.1139433523068367,0.30102999566398114,0.0,1.0,1.4142135623730951,1.0,3.4641016151377544,1.0
Codfish,South Arete Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/110390774/codfish,2.0,-1,Boulder,V0,1,11.0,37.4217,-118.43308,110390774,0.0,1,1,0,0,0.30102999566398114,0.0,0.47712125471966244,1.0791812460476247,0.30102999566398114,0.0,1.0,0.0,1.4142135623730951,3.3166247903554,1.0
Problem B,Beano Boulder > Kindergarten Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106915540/problem-b,1.0,-1,Boulder,V0,1,10.0,37.4227,-118.4345,106915540,0.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.041392685158225,0.30102999566398114,0.0,1.0,1.4142135623730951,1.0,3.1622776601683795,1.0
Boneless Herring,Boneless Herring Boulder > Kung-Fu Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107018119/boneless-herring,2.3,-1,Boulder,V0,1,18.0,37.419340000000005,-118.43437,107018119,0.0,11,3,3,21,1.0791812460476247,1.3424226808222062,0.5185139398778874,1.2787536009528289,0.30102999566398114,0.6020599913279623,3.3166247903554,4.58257569495584,1.51657508881031,4.242640687119285,1.0
Big Slab,Big Slab Boulder > Kung-Fu Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107018215/big-slab,2.7,-1,Boulder,V0 R,1,20.0,37.419340000000005,-118.43437,107018215,0.25,3,2,9,1,0.6020599913279623,0.30102999566398114,0.568201724066995,1.322219294733919,0.3521825181113625,1.0,1.7320508075688772,1.0,1.6431676725154984,4.47213595499958,1.118033988749895
Rubber Ball,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954379/rubber-ball,1.6,-1,Boulder,V0+,1,12.0,37.417590000000004,-118.43276000000002,106954379,0.25,8,2,1,11,0.9542425094393249,1.0791812460476247,0.4149733479708179,1.1139433523068367,0.3521825181113625,0.30102999566398114,2.8284271247461903,3.3166247903554,1.2649110640673518,3.4641016151377544,1.118033988749895
Double Arete,Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108651/double-arete,1.7,-1,Boulder,V0+,1,15.0,37.4191,-118.434,106108651,0.25,6,3,1,15,0.8450980400142567,1.2041199826559246,0.4313637641589873,1.2041199826559246,0.3521825181113625,0.30102999566398114,2.449489742783178,3.872983346207417,1.3038404810405297,3.872983346207417,1.118033988749895
Garden Pest,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642859/garden-pest,2.8,-1,Boulder,V0+,1,12.0,37.42324,-118.43279,106642859,0.25,21,6,5,31,1.3424226808222062,1.5051499783199058,0.57978359661681,1.1139433523068367,0.3521825181113625,0.7781512503836435,4.58257569495584,5.5677643628300215,1.6733200530681511,3.4641016151377544,1.118033988749895
The Overhanging Nose,"Short Arete Boulders > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669864/the-overhanging-nose,2.5,-1,Boulder,V0+,1,10.0,37.42232,-118.43364,106669864,0.25,12,3,6,20,1.1139433523068367,1.322219294733919,0.5440680443502756,1.041392685158225,0.3521825181113625,0.8450980400142567,3.4641016151377544,4.47213595499958,1.5811388300841898,3.1622776601683795,1.118033988749895
Any Which Way But Loose,Misery Cave North Entrance > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106669614/any-which-way-but-loose,2.4,-1,Boulder,V0+,1,15.0,37.417590000000004,-118.43276000000002,106669614,0.25,5,2,1,8,0.7781512503836435,0.9542425094393249,0.531478917042255,1.2041199826559246,0.3521825181113625,0.30102999566398114,2.23606797749979,2.8284271247461903,1.5491933384829668,3.872983346207417,1.118033988749895
Pocket Pussy,Prozac Nation Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642853/pocket-pussy,1.0,-1,Boulder,V1-,1,10.0,37.42324,-118.43279,106642853,0.75,8,2,2,12,0.9542425094393249,1.1139433523068367,0.30102999566398114,1.041392685158225,0.4393326938302626,0.47712125471966244,2.8284271247461903,3.4641016151377544,1.0,3.1622776601683795,1.3228756555322954
The Pat Cave Crack,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/113885052/the-pat-cave-crack,1.5,-1,Boulder,V1-,1,15.0,37.4217,-118.43308,113885052,0.75,2,1,0,1,0.47712125471966244,0.30102999566398114,0.3979400086720376,1.2041199826559246,0.4393326938302626,0.0,1.4142135623730951,1.0,1.224744871391589,3.872983346207417,1.3228756555322954
Loaded,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617845/loaded,2.5,-1,Boulder,V1,1,12.0,37.422540000000005,-118.43364,106617845,1.0,35,9,7,60,1.556302500767287,1.785329835010767,0.5440680443502756,1.1139433523068367,0.47712125471966244,0.9030899869919434,5.916079783099616,7.745966692414834,1.5811388300841898,3.4641016151377544,1.4142135623730951
Smiths,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108528/smiths,2.5,-1,Boulder,V1,1,12.0,37.42075,-118.43391000000001,106108528,1.0,25,2,11,30,1.414973347970818,1.4913616938342726,0.5440680443502756,1.1139433523068367,0.47712125471966244,1.0791812460476247,5.0,5.477225575051661,1.5811388300841898,3.4641016151377544,1.4142135623730951
