star_ratings,suggested_ratings,on_to_do_lists,ticks
14,7,5,21
6,4,6,4
2,2,4,2
2,1,5,1
1,1,5,2
3,2,11,3
5,3,14,5
6,4,8,6
3,3,3,0
3,2,5,7
1,1,1,0
18,4,42,19
1,1,0,0
1,1,2,1
6,3,5,7
5,4,11,5
2,1,0,1
5,4,2,5
2,2,2,1
85,23,119,150
14,5,41,19
10,4,5,22
14,5,8,24
14,6,29,31
3,1,19,6
3,2,0,5
2,1,12,2
6,2,14,10
5,3,4,4
16,5,6,16
2,1,10,2
1,1,2,1
1,1,4,1
2,2,10,4
6,2,29,9
10,3,20,15
2,1,9,2
3,3,9,4
142,46,810,170
16,5,9,33
147,35,282,301
20,13,43,34
41,8,40,78
3,2,3,4
1,1,1,1
7,4,19,9
1,1,2,0
1,1,1,0
1,1,1,0
2,1,2,2
6,4,7,9
2,2,2,3
8,4,9,17
1,1,0,0
7,5,6,10
8,3,3,10
22,8,10,31
6,4,3,9
1,1,0,0
21,6,20,20
1,1,5,0
1,1,5,0
1,1,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,2,2,1
1,1,2,1
1,1,21,1
5,3,4,3
1,1,2,0
1,1,2,0
0,1,2,0
15,6,11,25
5,2,5,8
82,17,424,103
1,1,3,0
6,2,10,6
205,64,515,322
6,4,10,19
3,3,7,0
6,2,10,4
19,8,18,15
7,3,5,9
22,9,4,34
3,3,0,1
1,1,2,1
1,1,2,0
1,1,2,1
1,1,3,1
2,2,5,1
1,1,2,2
21,12,21,14
1,1,1,0
0,1,0,0
1,1,6,1
3,2,9,5
3,1,2,2
2,2,4,1
2,2,1,1
4,1,2,4
2,2,4,4
2,1,0,2
6,4,2,9
46,13,115,67
10,7,15,21
5,4,9,6
6,2,3,6
1,1,2,0
1,1,9,0
4,3,9,3
5,3,32,4
1,1,9,2
1,1,4,1
2,2,2,2
2,1,29,1
1,1,2,0
2,2,9,2
0,1,1,0
0,1,1,0
0,1,2,0
1,1,1,0
3,2,18,3
0,1,1,0
1,1,1,0
1,1,0,0
20,8,27,28
2,1,12,1
18,5,12,38
3,1,4,2
2,2,2,1
8,2,16,12
2,2,4,2
6,3,54,11
1,1,0,1
1,1,4,0
8,6,15,7
0,1,2,0
0,1,1,0
15,6,25,26
1,1,3,0
1,1,3,1
1,1,7,1
1,1,6,1
5,2,16,8
2,2,2,2
3,2,6,4
1,1,6,5
9,4,32,14
15,6,10,19
4,3,8,1
39,13,111,52
21,8,29,29
3,2,7,3
2,2,3,0
3,2,6,3
3,1,7,2
10,5,43,8
12,5,45,12
1,2,3,3
2,1,8,2
2,2,1,1
12,5,11,17
55,9,81,72
4,2,10,6
4,2,8,12
4,1,5,2
3,2,5,4
3,2,14,3
3,2,34,3
12,6,46,17
3,3,5,5
1,1,8,1
1,1,9,1
71,28,89,113
1,1,0,0
14,12,15,14
11,8,4,13
14,7,24,16
2,1,2,1
86,34,123,151
4,4,3,3
4,4,7,2
3,2,2,4
4,2,2,8
3,2,5,3
7,5,5,7
3,1,3,11
8,5,34,9
1,1,0,2
4,2,2,3
