route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade
Birthday Left,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106027080/birthday-left,2.2,-1,Boulder,V1,1,10.0,37.330040000000004,-118.57901000000001,106027080,1.0
The Prow Stand Start,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114341764/the-prow-stand-start,2.7,-1,Boulder,V1,1,16.0,37.330040000000004,-118.57901000000001,114341764,1.0
Good Morning Sunshine,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106094043/good-morning-sunshine,3.1,-1,Boulder,V1 PG13,1,22.0,37.328590000000005,-118.57516000000001,106094043,1.0
Unnamed 4,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987316/unnamed-4,1.7,-1,Boulder,V1,1,15.0,37.328590000000005,-118.57516000000001,107987316,1.0
Unnamed 5,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987323/unnamed-5,2.2,-1,Boulder,V1,1,15.0,37.328590000000005,-118.57516000000001,107987323,1.0
Green Wall Arete,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093952/green-wall-arete,2.4,-1,Boulder,V1,1,20.0,37.32873,-118.57534,106093952,1.0
Blue Ball Existential,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112826595/blue-ball-existential,2.5,-1,Boulder,V1,1,15.0,37.32873,-118.57534,112826595,1.0
Problem C,Roadside Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987405/problem-c,1.1,-1,Boulder,V1,1,12.0,37.3282,-118.5761,107987405,1.0
Problem A,Scoop Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107987380/problem-a,2.0,-1,Boulder,V1,1,12.0,37.3282,-118.5762,107987380,1.0
"Rib, No Rib",Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111729554/rib-no-rib,2.5,-1,Boulder,V1,1,12.0,37.33,-118.5782,111729554,1.0
Groovy Grit,Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114039783/groovy-grit,2.3,-1,Boulder,V1,1,,37.33,-118.5782,114039783,1.0
Problem F,Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106060921/problem-f,1.8,-1,Boulder,V1,1,,37.329640000000005,-118.57869,106060921,1.0
Five and Dime,Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107204089/five-and-dime,2.6,-1,Boulder,V1,1,,37.33057,-118.57834,107204089,1.0
Five and Dime Left Sit Start,Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107204116/five-and-dime-left-sit-start,2.0,-1,Boulder,V1,1,,37.33057,-118.57834,107204116,1.0
Ay,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106100333/ay,2.1,-1,Boulder,V1,1,15.0,37.329,-118.5773,106100333,1.0
Problem B,Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108048876/problem-b,2.1,-1,Boulder,V1,1,15.0,37.329,-118.5773,108048876,1.0
Buttermilk Stem,Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130698/buttermilk-stem,3.5,-1,Boulder,V1,1,15.0,37.32906,-118.5768,106130698,1.0
Buttermilk Gem,Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106130735/buttermilk-gem,3.0,-1,Boulder,V1 R,1,28.0,37.32878,-118.57687,106130735,1.25
