route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Better to Light a Candle than to Curse the Darkness,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111683851/better-to-light-a-candle-than-to-curse-the-darkness,2.0,-1,Boulder,V5,1,,37.41718,-118.45095,111683851,5.0,2,1,3,3,0.47712125471966244,0.6020599913279623,0.47712125471966244,,0.8450980400142567,0.6020599913279623,1.4142135623730951,1.7320508075688772,1.4142135623730951,,2.449489742783178
Land of Milk and Honey,Little Country Girl Alcove > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107948339/land-of-milk-and-honey,2.0,-1,Boulder,V5,1,,37.41728,-118.45034,107948339,5.0,1,1,0,0,0.30102999566398114,0.0,0.47712125471966244,,0.8450980400142567,0.0,1.0,0.0,1.4142135623730951,,2.449489742783178
Done With The South,Water Saps Cave > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997340/done-with-the-south,3.1,-1,Boulder,V5 PG13,1,20.0,37.41675,-118.44941999999999,106997340,5.0,21,6,20,21,1.3424226808222062,1.3424226808222062,0.6127838567197355,1.322219294733919,0.8450980400142567,1.322219294733919,4.58257569495584,4.58257569495584,1.760681686165901,4.47213595499958,2.449489742783178
Wills Arete,Desert Skies/Morning Dove Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106337264/wills-arete,3.0,-1,Boulder,V5,1,20.0,37.41698,-118.45133,106337264,5.0,23,7,22,20,1.380211241711606,1.322219294733919,0.6020599913279623,1.322219294733919,0.8450980400142567,1.3617278360175928,4.795831523312719,4.47213595499958,1.7320508075688772,4.47213595499958,2.449489742783178
Mr. Happy,Toxic Avenger Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107490517/mr-happy,2.6,-1,Boulder,V5,1,,37.4161,-118.45012,107490517,5.0,30,13,25,38,1.4913616938342726,1.591064607026499,0.5563025007672872,,0.8450980400142567,1.414973347970818,5.477225575051661,6.164414002968976,1.61245154965971,,2.449489742783178
There's Nothing You Can Do That Can't Be Done,Southern Section > Frontierland > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107541899/theres-nothing-you-can-do-that-cant-be-done,1.0,-1,Boulder,V5,1,15.0,37.41548,-118.44911,107541899,5.0,1,1,1,0,0.30102999566398114,0.0,0.30102999566398114,1.2041199826559246,0.8450980400142567,0.30102999566398114,1.0,0.0,1.0,3.872983346207417,2.449489742783178
Hair Trigger,Hair Trigger Wall > Frontierland > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107541921/hair-trigger,2.5,-1,Boulder,V5,1,12.0,37.415490000000005,-118.44928,107541921,5.0,2,2,3,2,0.47712125471966244,0.47712125471966244,0.5440680443502756,1.1139433523068367,0.8450980400142567,0.6020599913279623,1.4142135623730951,1.4142135623730951,1.5811388300841898,3.4641016151377544,2.449489742783178
Hair Trigger - Variation,Hair Trigger Wall > Frontierland > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107541927/hair-trigger-variation,2.2,-1,Boulder,V5,1,18.0,37.415490000000005,-118.44928,107541927,5.0,6,3,2,3,0.8450980400142567,0.6020599913279623,0.5051499783199059,1.2787536009528289,0.8450980400142567,0.47712125471966244,2.449489742783178,1.7320508075688772,1.4832396974191326,4.242640687119285,2.449489742783178
Alex Patterson,Sabres of Paradise > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107045732/alex-patterson,2.4,-1,Boulder,V5,1,,37.415690000000005,-118.44957,107045732,5.0,5,2,4,7,0.7781512503836435,0.9030899869919434,0.531478917042255,,0.8450980400142567,0.6989700043360187,2.23606797749979,2.6457513110645907,1.5491933384829668,,2.449489742783178
Rene,Hand to Hand Combat Wall > Hand to Hand Combat Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106279726/rene,3.6,-1,Boulder,V5 PG13,1,22.0,37.41588,-118.44993000000001,106279726,5.0,53,22,78,62,1.7323937598229684,1.7993405494535815,0.662757831681574,1.3617278360175928,0.8450980400142567,1.8976270912904412,7.280109889280518,7.874007874011811,1.8973665961010275,4.69041575982343,2.449489742783178
