route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Problem A,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277503/problem-a,1.4,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,106277503,0.0,17,3,14,30,1.2552725051033058,1.4913616938342726,0.380211241711606,1.1139433523068367,0.30102999566398114,1.1760912590556811,4.123105625617661,5.477225575051661,1.1832159566199232,3.4641016151377544,1.0
Birthday Mantel,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277514/birthday-mantel,2.5,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,106277514,0.0,89,21,79,153,1.9542425094393248,2.187520720836463,0.5440680443502756,1.1139433523068367,0.30102999566398114,1.9030899869919433,9.433981132056603,12.36931687685298,1.5811388300841898,3.4641016151377544,1.0
Problem B,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277521/problem-b,2.1,-1,Boulder,V0,1,12.0,37.330040000000004,-118.57901000000001,106277521,0.0,24,6,16,38,1.3979400086720375,1.591064607026499,0.49136169383427264,1.1139433523068367,0.30102999566398114,1.2304489213782739,4.898979485566356,6.164414002968976,1.449137674618944,3.4641016151377544,1.0
Robinson's Rubber Tester,Robinson's Rubber Tester Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936126/robinsons-rubber-tester,3.3,-1,Boulder,V0,1,,37.32867,-118.57681000000001,105936126,0.0,136,40,178,197,2.1367205671564067,2.296665190261531,0.6334684555795864,,0.30102999566398114,2.252853030979893,11.661903789690601,14.035668847618199,1.816590212458495,,1.0
Unnamed  3,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032785/unnamed-3,2.5,-1,Boulder,V0,1,18.0,37.328590000000005,-118.57516000000001,107032785,0.0,16,5,6,40,1.2304489213782739,1.6127838567197355,0.5440680443502756,1.2787536009528289,0.30102999566398114,0.8450980400142567,4.0,6.324555320336759,1.5811388300841898,4.242640687119285,1.0
Problem A,Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106322566/problem-a,2.0,-1,Boulder,V0,1,15.0,37.32873,-118.57534,106322566,0.0,41,14,19,74,1.6232492903979003,1.8750612633916997,0.47712125471966244,1.2041199826559246,0.30102999566398114,1.301029995663981,6.4031242374328485,8.602325267042627,1.4142135623730951,3.872983346207417,1.0
Hager Arete,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936748/hager-arete,2.6,-1,Boulder,V0,1,15.0,37.33014,-118.57777,105936748,0.0,25,7,16,43,1.414973347970818,1.6434526764861872,0.5563025007672872,1.2041199826559246,0.30102999566398114,1.2304489213782739,5.0,6.557438524302,1.61245154965971,3.872983346207417,1.0
Unnamed Arete,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936754/unnamed-arete,1.7,-1,Boulder,V0,1,20.0,37.33014,-118.57777,105936754,0.0,7,1,3,8,0.9030899869919434,0.9542425094393249,0.4313637641589873,1.322219294733919,0.30102999566398114,0.6020599913279623,2.6457513110645907,2.8284271247461903,1.3038404810405297,4.47213595499958,1.0
Unnmed,Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111731481/unnmed,1.9,-1,Boulder,V0,1,15.0,37.33014,-118.57777,111731481,0.0,7,2,4,14,0.9030899869919434,1.1760912590556811,0.462397997898956,1.2041199826559246,0.30102999566398114,0.6989700043360187,2.6457513110645907,3.7416573867739413,1.378404875209022,3.872983346207417,1.0
Hero Roof,Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106094805/hero-roof,3.4,-1,Boulder,V0,1,14.0,37.33,-118.5782,106094805,0.0,387,89,412,722,2.5888317255942073,2.8591382972945305,0.6434526764861874,1.1760912590556811,0.30102999566398114,2.615950051656401,19.672315572906,26.870057685088806,1.8439088914585775,3.7416573867739413,1.0
